0,1,2,key
100171,516949,1002953,20000000000_5_5_CTB
56000,289000,560700,20000000000_5_5_VRY
120727,530457,1169501,20000000000_6_1_SMG
51419,225924,498096,20000000000_6_1_AC1
70945,311719,687247,20000000000_6_1_CV1
55547,244065,538091,20000000000_6_1_GYR
127046,558218,1230705,20000000000_6_1_CTR
128501,564611,1244800,20000000000_6_1_CTB
71600,314601,693600,20000000000_6_1_VRY
102076,536653,1171169,20000000000_6_2_SMG
43477,228576,498834,20000000000_6_2_AC1
60132,316139,689929,20000000000_6_2_CV1
46966,246920,538868,20000000000_6_2_GYR
107474,565034,1233107,20000000000_6_2_CTR
108705,571505,1247229,20000000000_6_2_CTB
60600,318601,695300,20000000000_6_2_VRY
87556,539674,1235902,20000000000_6_3_SMG
37234,229501,525578,20000000000_6_3_AC1
51500,317429,726941,20000000000_6_3_CV1
40222,247919,567757,20000000000_6_3_GYR
92041,567320,1299214,20000000000_6_3_CTR
93095,573817,1314092,20000000000_6_3_CTB
51900,319900,732600,20000000000_6_3_VRY
131357,574832,1093682,20000000000_6_4_SMG
55889,244575,465330,20000000000_6_4_AC1
77224,337942,642971,20000000000_6_4_CV1
60060,262827,500057,20000000000_6_4_GYR
138162,604613,1150344,20000000000_6_4_CTR
139672,611221,1162915,20000000000_6_4_CTB
77900,340900,648600,20000000000_6_4_VRY
172579,818061,1319111,20000000000_6_5_SMG
73429,348070,561258,20000000000_6_5_AC1
101512,481187,775907,20000000000_6_5_CV1
79282,375813,605993,20000000000_6_5_GYR
181715,861372,1388948,20000000000_6_5_CTR
183696,870760,1399990,20000000000_6_5_CTB
102400,485400,782700,20000000000_6_5_VRY
105638,382936,939183,30000000000_1_1_SMG
46087,167066,409742,30000000000_1_1_AC1
63202,229107,561903,30000000000_1_1_CV1
49982,181184,444367,30000000000_1_1_GYR
114395,412774,1011308,30000000000_1_1_CTR
114583,415361,1018707,30000000000_1_1_CTB
64000,232001,569001,30000000000_1_1_VRY
59183,494203,1106939,30000000000_1_2_SMG
24099,201229,450723,30000000000_1_2_AC1
34812,290692,651107,30000000000_1_2_CV1
27203,227149,508780,30000000000_1_2_GYR
62282,520079,1164899,30000000000_1_2_CTR
62996,526039,1178247,30000000000_1_2_CTB
35100,293100,656500,30000000000_1_2_VRY
44999,496669,1107266,30000000000_1_3_SMG
19212,212046,472733,30000000000_1_3_AC1
26481,292278,651600,30000000000_1_3_CV1
20715,228639,509723,30000000000_1_3_GYR
47354,522658,1165205,30000000000_1_3_CTR
47871,528370,1177940,30000000000_1_3_CTB
26700,294700,657000,30000000000_1_3_VRY
63536,489915,1053308,30000000000_1_4_SMG
27114,209069,449495,30000000000_1_4_AC1
37373,288179,619578,30000000000_1_4_CV1
29264,225648,485138,30000000000_1_4_GYR
66896,515821,1109005,30000000000_1_4_CTR
67627,521458,1121125,30000000000_1_4_CTB
37700,290700,625000,30000000000_1_4_VRY
50729,502398,1130522,30000000000_1_5_SMG
21659,214500,482677,30000000000_1_5_AC1
29781,294939,663687,30000000000_1_5_CV1
23317,230916,519619,30000000000_1_5_GYR
53413,528978,1190334,30000000000_1_5_CTR
53967,534464,1202677,30000000000_1_5_CTB
30100,298100,670800,30000000000_1_5_VRY
48481,441822,913666,30000000000_2_1_SMG
20915,193152,399764,30000000000_2_1_AC1
28605,264172,546753,30000000000_2_1_CV1
22922,208893,431980,30000000000_2_1_GYR
52201,475720,983766,30000000000_2_1_CTR
52583,479208,990978,30000000000_2_1_CTB
28900,266900,552400,30000000000_2_1_VRY
53257,471220,1057547,30000000000_2_2_SMG
22984,200903,450491,30000000000_2_2_AC1
31251,276508,620559,30000000000_2_2_CV1
24479,216586,486078,30000000000_2_2_GYR
56788,496392,1113080,30000000000_2_2_CTR
56688,501575,1125674,30000000000_2_2_CTB
31600,279600,627500,30000000000_2_2_VRY
107858,516857,947790,30000000000_2_3_SMG
47227,226311,415000,30000000000_2_3_AC1
64714,310110,568667,30000000000_2_3_CV1
51101,244877,449045,30000000000_2_3_GYR
116949,557675,1022036,30000000000_2_3_CTR
117157,561421,1029510,30000000000_2_3_CTB
65400,313400,574701,30000000000_2_3_VRY
162716,580887,1182851,30000000000_2_4_SMG
69437,247886,504766,30000000000_2_4_AC1
95711,341681,695758,30000000000_2_4_CV1
74711,266713,543102,30000000000_2_4_GYR
171236,611303,1244786,30000000000_2_4_CTR
173102,617962,1258346,30000000000_2_4_CTB
96500,344500,701500,30000000000_2_4_VRY
42957,454283,899941,30000000000_2_5_SMG
18720,197966,392174,30000000000_2_5_AC1
25697,271747,538335,30000000000_2_5_CV1
20257,214219,424371,30000000000_2_5_GYR
46901,488581,967126,30000000000_2_5_CTR
46536,492122,974901,30000000000_2_5_CTB
25900,273901,542600,30000000000_2_5_VRY
86832,563059,1205713,30000000000_3_1_SMG
37002,239935,513788,30000000000_3_1_AC1
51028,330887,708549,30000000000_3_1_CV1
39993,259333,555325,30000000000_3_1_GYR
91323,592183,1268078,30000000000_3_1_CTR
92468,599605,1283972,30000000000_3_1_CTB
51600,334600,716500,30000000000_3_1_VRY
149074,726840,1384112,30000000000_3_2_SMG
