id,indices,key,state
CTB_00000000001_@1@3@water,27536#669546#1228559#1797336#2456434,CTB,water
CTR_00000000001_@1@3@water,27311#664077#1218524#1782655#2436369,CTR,water
CV1_00000000001_@1@3@water,14822#369808#678903#993396#1357831,CV1,water
VRY_00000000001_@1@3@water,14984#373848#686319#1004248#1372664,VRY,water
PRS_00000000001_@1@3@water,564#13714#25164#36815#50315,PRS,water
SMG_00000000001_@1@3@water,25893#629590#1155243#1690077#2309843,SMG,water
WTF_00000000001_@1@3@water,565#13715#25165#36815#50315,WTF,water
AC1_00000000001_@1@4@air,41940#225378#413994,AC1,air
GYR_00000000001_@1@4@air,44354#238353#437827,GYR,air
CTB_00000000001_@1@4@air,101680#546414#1003701,CTB,air
CTR_00000000001_@1@4@air,101001#542765#996999,CTR,air
CV1_00000000001_@1@4@air,56073#301328#553506,CV1,air
VRY_00000000001_@1@4@air,56700#304700#559700,VRY,air
SMG_00000000001_@1@4@air,95765#514627#945312,SMG,air
AC1_00000000001_@1@4@water,47585#315520#542157#786925#1039751,AC1,water
GYR_00000000001_@1@4@water,50641#333989#573663#832511#1099880,GYR,water
CTB_00000000001_@1@4@water,116113#765797#1315341#1908849#2521896,CTB,water
CTR_00000000001_@1@4@water,115150#759443#1304427#1893010#2500971,CTR,water
CV1_00000000001_@1@4@water,63810#423105#727019#1055247#1394280,CV1,water
VRY_00000000001_@1@4@water,64452#427361#734332#1065861#1408305,VRY,water
PRS_00000000001_@1@4@water,2377#15677#26927#39077#51627,PRS,water
SMG_00000000001_@1@4@water,108465#719202#1235802#1793731#2370027,SMG,water
WTF_00000000001_@1@4@water,2377#15677#26927#39077#51627,WTF,water
AC1_00000000001_@1@5@air,20493#228351#403672,AC1,air
GYR_00000000001_@1@5@air,21743#242282#428299,GYR,air
CTB_00000000001_@1@5@air,49748#554354#979971,CTB,air
CTR_00000000001_@1@5@air,49446#550993#974029,CTR,air
CV1_00000000001_@1@5@air,27471#306118#541147,CV1,air
VRY_00000000001_@1@5@air,27900#310900#549600,VRY,air
SMG_00000000001_@1@5@air,46844#521993#922765,SMG,air
AC1_00000000001_@1@5@water,23699#280416#510959#758615#996205,AC1,water
GYR_00000000001_@1@5@water,25042#296302#539905#801591#1052640,GYR,water
CTB_00000000001_@1@5@water,57487#680222#1239462#1840217#2416552,CTB,water
CTR_00000000001_@1@5@water,56995#674398#1228850#1824462#2395862,CTR,water
CV1_00000000001_@1@5@water,31775#375974#685078#1017129#1335682,CV1,water
VRY_00000000001_@1@5@water,32076#379534#691565#1026759#1348329,VRY,water
PRS_00000000001_@1@5@water,1177#13927#25377#37677#49477,PRS,water
SMG_00000000001_@1@5@water,54041#639445#1165161#1729904#2271690,SMG,water
WTF_00000000001_@1@5@water,1177#13927#25377#37677#49477,WTF,water
AC1_00000000001_@2@1@air,367#196612#379970,AC1,air
GYR_00000000001_@2@1@air,392#210145#406123,GYR,air
CTB_00000000001_@2@1@air,896#481138#929841,CTB,air
CTR_00000000001_@2@1@air,890#477586#922977,CTR,air
CV1_00000000001_@2@1@air,496#266252#514556,CV1,air
VRY_00000000001_@2@1@air,500#268500#518901,VRY,air
SMG_00000000001_@2@1@air,842#452096#873714,SMG,air
AC1_00000000001_@2@1@water,17619#279712#519880#745099#995233,AC1,water
GYR_00000000001_@2@1@water,18846#299181#556067#796964#1064508,GYR,water
CTB_00000000001_@2@1@water,43182#685525#1274137#1826112#2439147,CTB,water
CTR_00000000001_@2@1@water,42795#679384#1262722#1809753#2417296,CTR,water
CV1_00000000001_@2@1@water,23869#378919#704269#1009369#1348219,CV1,water
VRY_00000000001_@2@1@water,24086#382369#710683#1018561#1360497,VRY,water
PRS_00000000001_@2@1@water,884#14034#26084#37384#49934,PRS,water
SMG_00000000001_@2@1@water,40577#644181#1197293#1715979#2292042,SMG,water
WTF_00000000001_@2@1@water,884#14034#26084#37384#49934,WTF,water
AC1_00000000001_@2@2@air,39077#228230#411225,AC1,air
GYR_00000000001_@2@2@air,41731#243730#439153,GYR,air
CTB_00000000001_@2@2@air,95798#559509#1008123,CTB,air
CTR_00000000001_@2@2@air,94717#553193#996742,CTR,air
CV1_00000000001_@2@2@air,52704#307818#554625,CV1,air
VRY_00000000001_@2@2@air,53300#311301#560900,VRY,air
SMG_00000000001_@2@2@air,89905#525092#946110,SMG,air
AC1_00000000001_@2@2@water,22989#302611#518319#755997#1003661,AC1,water
GYR_00000000001_@2@2@water,24512#322654#552649#806070#1070138,GYR,water
CTB_00000000001_@2@2@water,56195#739701#1266978#1847959#2453351,CTB,water
CTR_00000000001_@2@2@water,54231#732068#1254971#1831133#2431503,CTR,water
CV1_00000000001_@2@2@water,31068#408949#700458#1021657#1356352,CV1,water
VRY_00000000001_@2@2@water,31351#412674#706838#1030963#1368707,VRY,water
PRS_00000000001_@2@2@water,1152#15151#25952#37851#50251,PRS,water
SMG_00000000001_@2@2@water,52819#695262#1190862#1736939#2305961,SMG,water
WTF_00000000001_@2@2@water,1152#15151#25952#37851#50251,WTF,water
AC1_00000000001_@2@3@air,22508#208596#384829,AC1,air
GYR_00000000001_@2@3@air,23988#222318#410144,GYR,air
CTB_00000000001_@2@3@air,54912#508920#938882,CTB,air
CTR_00000000001_@2@3@air,54613#506151#933774,CTR,air
CV1_00000000001_@2@3@air,30279#280623#517708,CV1,air
VRY_00000000001_@2@3@air,30600#283600#523200,VRY,air
SMG_00000000001_@2@3@air,51601#478233#882268,SMG,air
AC1_00000000001_@2@3@water,45420#285416#540413#746409#1035405,AC1,water
